


q5_results.apartment_relative_to_building_height,q5_results.mean_m2_price
0.0 - 0.1,270748.08268635796
0.1 - 0.2,314393.66220759426
0.2 - 0.3,362426.10756340064
0.3 - 0.4,376046.77164603805
0.4 - 0.5,371377.4548971676
0.5 - 0.6,348364.9258349624
0.6 - 0.7,358754.09355101886
0.7 - 0.8,354639.17278609675
0.8 - 0.9,373296.7368776384
0.9 - 1.0,329036.4525809929
