model,RMSE,R2,MAE,MAPE
Linear Regression,5.8172180253675334E7,0.6167269273832193,2.1030067201871805E7,99.37715027910079
GBT,5.967443584387394E7,0.596675810374727,1.549190470359425E7,40.24220417260103
