


q3_results.distance_to_metro,q3_results.mean_m2_price
0-2,646299.5656167608
10-12,326790.6807877999
12-14,247854.56143053476
14-16,343204.89232011954
16-18,352128.9665999491
18-20,290101.32667013654
2-4,460817.7921298923
4-6,381944.2916361164
6-8,409514.13444527093
8-10,384598.73159479006
