


q2_results.distance_in_degrees,q2_results.mean_m2_price
0.0 - 0.1,667345.5584719565
0.1 - 0.2,260773.16732544918
0.2 - 0.3,211140.39431327282
0.3 - 0.4,278521.6007848205
0.4 - 0.5,389230.16750265827
0.5 - 0.6,298784.1475451367
0.8 - 0.9,603252.5128296947
0.9 - 1.0,274873.3641377123
