name,latitude,longitude
преображенская площадь,55.796172,37.715022
прокшино,55.586456,37.43322
пролетарская,55.723886,37.729125
проспект вернадского,55.678519,37.503747
проспект мира,55.781747,37.633032
профсоюзная,55.67793,37.562874
пушкинская,55.765752,37.6039
пыхтино,55.624642,37.296146
пятницкое шоссе,55.855967,37.354141
рабочий посёлок,55.726918,37.417886
раменки,55.697691,37.498734
рассказовка,55.633968,37.334756
речной вокзал,55.854891,37.476231
рижская,55.793308,37.639662
римская,55.746233,37.681245
ростокино,55.839224,37.668408
румянцево,55.633028,37.441404
рязанский проспект,55.717097,37.793364
савеловская,55.795363,37.589159
савёловская,55.795363,37.589159
саларьево,55.621816,37.424057
санино,55.583886,37.138168
свиблово,55.855179,37.652625
севастопольская,55.652085,37.59833
селигерская,55.866561,37.547126
семеновская,55.7832,37.719423
семёновская,55.7832,37.719423
серпуховская,55.727293,37.6251
сетунь,55.723587,37.396722
силикатная,55.470459,37.555454
сколково,55.700096,37.342535
славянский бульвар,55.730411,37.472378
смоленская,55.747753,37.583832
сокол,55.805047,37.514796
соколиная гора,55.769919,37.745385
сокольники,55.790109,37.679376
солнцево,55.649388,37.3909
спартак,55.818103,37.43525
спортивная,55.723328,37.564123
сретенский бульвар,55.765564,37.638404
стахановская,55.727207,37.752257
стрешнево,55.813703,37.486975
строгино,55.803697,37.403118
студенческая,55.738809,37.548402
сухаревская,55.772497,37.632305
сходненская,55.85052,37.439535
таганская,55.739549,37.652957
тверская,55.76446,37.605948
театральная,55.757967,37.619001
текстильщики,55.707289,37.729511
теплый стан,55.618939,37.508346
терехово,55.748108,37.459738
терехово (мнёвники),55.753488,37.457142
тестовская,55.750145,37.530571
технопарк,55.693931,37.664428
тимирязевская,55.819393,37.5759
третьяковская,55.741267,37.62563
трикотажная,55.833137,37.398976
тропарево,55.645842,37.472494
тропарёво,55.645842,37.472494
трубная,55.767833,37.622028
тульская,55.704032,37.623025
тургеневская,55.765235,37.636751
тушинская,55.827343,37.440263
тёплый стан,55.618939,37.508346
угрешская,55.717944,37.695555
улица 1905 года,55.764759,37.561401
улица академика королёва,55.821674,37.607439
улица академика янгеля,55.595293,37.600873
улица горчакова,55.541937,37.531514
улица дмитриевского,55.710311,37.879054
улица скобелевская,55.548049,37.554645
улица старокачаловская,55.568517,37.576322
университет,55.692612,37.533526
физтех,55.921536,37.546498
филатов луг,55.601182,37.407995
филевский парк,55.739524,37.483328
фили,55.744216,37.514985
филёвский парк,55.739524,37.483328
